"Year","Month","Country","Ah1n12009","Ah1","Ah3","Ah5","Ah7n9","A_no_subtype","Bvic","Byam","Bnotdetermined","Influenza_A","Influenza_B"
2018,"July","Northern Hemisphere",2407,0,507,0,0,374,64,201,276,3288,541
2018,"July","Southern Hemisphere",1510,0,1205,0,0,754,61,218,427,3469,706
2018,"June","Northern Hemisphere",1717,0,292,0,0,383,76,196,412,2392,684
2018,"June","Southern Hemisphere",1714,0,636,0,0,197,37,218,149,2547,404
2018,"March","Northern Hemisphere",11780,0,7934,0,0,27272,560,7244,42335,46986,50139
2018,"March","Southern Hemisphere",508,0,184,0,0,43,47,127,156,735,330
2018,"May","Northern Hemisphere",1839,0,961,0,0,1097,103,342,1641,3897,2086
2018,"May","Southern Hemisphere",1784,0,585,0,0,115,9,158,183,2484,350
2018,"November","Northern Hemisphere",8117,0,2001,0,0,6844,190,180,1357,16962,1727
2018,"November","Southern Hemisphere",255,0,142,0,0,99,64,99,155,496,318
2018,"October","Northern Hemisphere",5638,0,1682,0,0,2714,265,234,1166,10034,1665
2018,"October","Southern Hemisphere",356,0,308,0,0,232,63,146,281,896,490
2018,"September","Northern Hemisphere",2403,0,884,0,0,723,99,130,513,4010,742
2018,"September","Southern Hemisphere",1251,0,517,0,0,498,215,323,439,2266,977
2019,"April","Northern Hemisphere",4278,0,9253,0,0,20937,7957,290,5395,34468,13642
2019,"April","Southern Hemisphere",358,0,616,0,0,409,24,10,111,1383,145
2019,"August","Northern Hemisphere",1059,0,2158,0,0,706,1274,31,1385,3923,2690
2019,"August","Southern Hemisphere",255,0,394,0,0,1113,59,6,606,1762,671
2019,"December","Northern Hemisphere",16283,0,26989,0,0,36112,11406,148,49843,79384,61397
2019,"December","Southern Hemisphere",302,0,61,0,0,132,31,1,94,495,126
2019,"February","Northern Hemisphere",41728,0,27354,0,0,114287,1164,188,3238,183369,4590
2019,"February","Southern Hemisphere",260,0,397,0,0,205,6,12,45,862,63
2019,"January","Northern Hemisphere",55881,0,20892,0,0,79642,491,178,2411,156415,3080
2019,"January","Southern Hemisphere",302,0,542,0,0,115,5,22,79,959,106
2019,"July","Northern Hemisphere",1995,0,3088,0,0,757,2451,70,1526,5840,4047
2019,"July","Southern Hemisphere",958,0,1500,0,0,2382,250,3,591,4840,844
2019,"June","Northern Hemisphere",1341,0,2231,0,0,977,2989,41,1673,4549,4703
2019,"June","Southern Hemisphere",1311,0,2537,0,0,2339,288,1,512,6187,801
2019,"March","Northern Hemisphere",16291,0,20709,1,0,65748,6479,284,4318,102749,11081
2019,"March","Southern Hemisphere",328,0,307,0,0,217,4,10,90,852,104
2019,"May","Northern Hemisphere",1346,0,2592,0,0,2815,5366,117,2739,6753,8222
2019,"May","Southern Hemisphere",524,0,1726,0,0,891,160,0,206,3141,366
2019,"November","Northern Hemisphere",6042,0,6355,0,0,8843,2769,115,10992,21240,13876
2019,"November","Southern Hemisphere",105,0,18,0,0,87,5,0,122,210,127
2019,"October","Northern Hemisphere",2454,0,3244,0,0,3171,1423,50,2843,8869,4316
2019,"October","Southern Hemisphere",92,0,47,0,0,163,15,0,103,302,118
2019,"September","Northern Hemisphere",1692,0,2896,0,0,2019,1117,39,2361,6607,3517
2019,"September","Southern Hemisphere",142,0,159,0,0,601,33,4,360,902,397
2020,"April","Northern Hemisphere",297,0,99,0,0,317,21,0,421,713,442
2020,"April","Southern Hemisphere",2,0,4,0,0,44,1,0,34,50,35
2020,"August","Northern Hemisphere",25,0,95,0,0,38,21,0,54,158,75
2020,"August","Southern Hemisphere",0,0,6,0,0,2,0,0,3,8,3
2020,"December","Northern Hemisphere",43,0,140,0,0,211,201,0,436,394,637
2020,"December","Southern Hemisphere",0,0,4,0,0,0,0,0,0,4,0
2020,"February","Northern Hemisphere",20104,0,6747,0,0,85175,4765,32,51657,112026,56454
2020,"February","Southern Hemisphere",368,0,111,0,0,163,10,0,110,642,120
2020,"January","Northern Hemisphere",22836,0,11148,0,0,66114,8543,48,53091,100098,61682
2020,"January","Southern Hemisphere",368,0,113,0,0,178,2,0,74,659,76
2020,"July","Northern Hemisphere",19,0,22,0,0,33,7,0,38,74,45
2020,"July","Southern Hemisphere",0,0,2,0,0,2,0,0,4,4,4
2020,"June","Northern Hemisphere",28,0,13,0,0,65,10,0,69,106,79
2020,"June","Southern Hemisphere",1,0,0,0,0,2,0,0,16,3,16
2020,"March","Northern Hemisphere",9065,0,3031,0,0,40565,1444,14,19989,52661,21447
2020,"March","Southern Hemisphere",322,0,112,0,0,285,5,0,157,719,162
2020,"May","Northern Hemisphere",69,0,13,0,0,64,5,0,104,146,109
2020,"May","Southern Hemisphere",0,0,1,0,0,11,0,0,10,12,10
2020,"November","Northern Hemisphere",69,0,245,0,0,279,98,6,456,593,560
2020,"November","Southern Hemisphere",0,0,10,0,0,1,0,0,0,11,0
2020,"October","Northern Hemisphere",38,0,272,0,0,192,105,2,193,502,300
2020,"October","Southern Hemisphere",0,0,6,0,0,0,0,0,0,6,0
2020,"September","Northern Hemisphere",23,0,293,0,0,80,37,0,82,396,119
2020,"September","Southern Hemisphere",0,0,4,0,0,1,0,0,2,5,2
2021,"April","Northern Hemisphere",57,0,118,0,0,83,1150,0,154,258,1304
2021,"April","Southern Hemisphere",0,0,30,0,0,1,2,0,5,31,7
2021,"August","Northern Hemisphere",194,0,2336,2,0,129,1363,0,224,2661,1587
2021,"August","Southern Hemisphere",5,0,10,0,0,0,29,0,6,15,35
2021,"December","Northern Hemisphere",479,0,11192,0,0,37314,9608,0,712,48985,10320
2021,"December","Southern Hemisphere",38,0,471,0,0,10,20,0,20,519,40
2021,"February","Northern Hemisphere",114,0,173,0,0,129,314,0,292,416,606
2021,"February","Southern Hemisphere",0,0,7,0,0,0,0,0,13,7,13
2021,"January","Northern Hemisphere",109,0,102,0,0,142,575,0,387,353,962
2021,"January","Southern Hemisphere",0,0,0,0,0,0,0,0,4,0,4
2021,"July","Northern Hemisphere",183,0,605,5,0,45,890,0,146,838,1036
2021,"July","Southern Hemisphere",0,0,10,0,0,1,9,0,13,11,22
2021,"June","Northern Hemisphere",131,0,71,0,0,52,1115,0,194,254,1309
2021,"June","Southern Hemisphere",2,0,15,0,0,1,20,0,11,18,31
2021,"March","Northern Hemisphere",109,0,210,8,0,129,797,0,265,456,1062
2021,"March","Southern Hemisphere",0,0,15,0,0,0,0,0,5,15,5
2021,"May","Northern Hemisphere",51,0,133,0,0,102,1816,0,205,286,2021
2021,"May","Southern Hemisphere",3,0,27,0,0,2,13,0,27,32,40
2021,"November","Northern Hemisphere",501,0,6225,0,0,7112,5525,0,883,13838,6408
2021,"November","Southern Hemisphere",155,0,59,0,0,9,167,0,23,223,190
